title,map_link,cover_image,rating,privacy_price,category,address,working_hours,menu_link,webpage,phone_number,related_images,latitude,longitude,site_email,facebook_links,twitter_links,instagram_links,youtube_links,linkedin_links,about_desc
Bundu Khan Restaurant - Bahria Town,https://www.google.com/maps/place/Bundu+Khan+Restaurant+-+Bahria+Town/data=!4m7!3m6!1s0x3918ff79509a155d:0xe0ee8274519abc!8m2!3d31.3717052!4d74.185816!16s%2Fg%2F11k0_nrzl1!19sChIJXRWaUHn_GDkRvJpRdILu4AA?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipM3JoODUlQtbF9sTFd6An-BdVhDv5FANfOKP6x9=w408-h306-k-no,4.1,$$,Restaurant,"20 C, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53720","Friday,6 am–12 am,Saturday,6 am–12 am,Sunday,6 am–12 am,Monday,6 am–12 am,Tuesday,6 am–12 am,Wednesday,6 am–12 am,Thursday,6 am–12 am",Not Available,http://bundukhan.pk/,(042) 37864020,"https://lh5.googleusercontent.com/p/AF1QipM3JoODUlQtbF9sTFd6An-BdVhDv5FANfOKP6x9=w397-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipNjnADgXcMeDPMnud45Xbb-1FPge-BZ1TBUdezN=w224-h398-k-no,https://lh5.googleusercontent.com/p/AF1QipMc4T7xVwp074x73IDQJ5tzHnk0XJcAZDKa3bh1=w529-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipO7TuyIpsKDGIZTsSnwMA3RALdZIFP2u4QLujKG=w380-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipOBBa6M5B_Kxc2eWX59hHT7v5q94OvSsNALPVeq=w397-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipOIMz2hkfOJcmLAkjwANmrYfTN-9YN50ZIoWFtR=w661-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipMt7Z0sdQUVdkbYT18idXKeo7fyk_8q-1fPk_yU=w397-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipNgBhrRFwg632b3_8jaG-Z0-bo2t6VH5lJOs7ZA=w224-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipNCyLZgl1bcnzsIzhsvIM82VQO2mCBMT1I1w_zH=w397-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipPyV1cDs6MBdGoKkKlYE5MRPhluLHdTAQVgMzaC=w224-h298-k-no",31.3717052,74.185816,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ADI’S Kitchen Bahria Town Lahore,https://www.google.com/maps/place/ADI%E2%80%99S+Kitchen+Bahria+Town+Lahore/data=!4m7!3m6!1s0x3919050fb00d055d:0x17f88b5270512c21!8m2!3d31.3862423!4d74.191112!16s%2Fg%2F11flb_zj8k!19sChIJXQUNsA8FGTkRISxRcFKL-Bc?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMHNf3eUju44KniqHb2XW0213-Fk3Rlq2ynIa4-=w408-h747-k-no,4.5,Not Available,Restaurant,"D3, Shaheen Block sector B Bahria Town, lahore, punjab B, Lahore, 53720","Friday,12 pm–12 am,Saturday,12 pm–12 am,Sunday,12 pm–12 am,Monday,12 pm–12 am,Tuesday,12 pm–12 am,Wednesday,12 pm–12 am,Thursday,12 pm–12 am",Not Available,https://www.facebook.com/Biryani-Bar-BQ-607989929652211/,0314 4877726,"https://lh5.googleusercontent.com/p/AF1QipMHNf3eUju44KniqHb2XW0213-Fk3Rlq2ynIa4-=w224-h410-k-no,https://lh5.googleusercontent.com/p/AF1QipMNftvK3-yaGTUlvDGCuAMwi9WI_GadSMRPgTNo=w419-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipMcDVnk0Bcj0ERpt8dn9klFnHZVWTF_Acup3_VR=w224-h395-k-no,https://lh5.googleusercontent.com/p/AF1QipP8OFirpWsN87YXawP-36q1PektlZMTR-8tu5lC=w402-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipMwwSWQsIEG83o6ISNVYWKcpehG-PuOkEH3IkLa=w529-h298-k-no,https://lh5.googleusercontent.com/p/AF1QipMXZ9vX9meCGvqRysDsjm4ETZfj5O4WVQe3ClG4=w224-h395-k-no",31.3862423,74.191112,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
